candidate,total_score,rank,system
Jean.Luc.Mélenchon,984,1,Approval Voting
Yannick.Jadot,812,2,Approval Voting
Philippe.Poutou,632,3,Approval Voting
Fabien.Roussel,420,4,Approval Voting
Anne.Hidalgo,413,5,Approval Voting
Emmanuel.Macron,304,6,Approval Voting
Nathalie.Arthaud,293,7,Approval Voting
Jean.Lassalle,173,8,Approval Voting
Valérie.Pecresse,92,9,Approval Voting
Marine.Le.Pen,81,10,Approval Voting
Eric.Zemmour,70,11,Approval Voting
Nicolas.Dupont.Aignan,69,12,Approval Voting
Jean.Luc.Mélenchon,2115,1,Borda Count
Yannick.Jadot,1613,2,Borda Count
Philippe.Poutou,983,3,Borda Count
Anne.Hidalgo,745,4,Borda Count
Fabien.Roussel,689,5,Borda Count
Emmanuel.Macron,661,6,Borda Count
Nathalie.Arthaud,314,7,Borda Count
Jean.Lassalle,231,8,Borda Count
Valérie.Pecresse,169,9,Borda Count
Marine.Le.Pen,116,10,Borda Count
Eric.Zemmour,108,11,Borda Count
Nicolas.Dupont.Aignan,76,12,Borda Count
